,Molecular Formula,Smiles,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Molecular Weight,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Grade
0,C28H29N5,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2C(C#N)c1ccc(C)cc1,,,,,435.58,5.59,57.74,5.0,0.0,1.0,5.0,0.41,5.96,5.96,4.0,33.0,5.0,0.0,1.0,435.2423,10.0
1,C28H27N9O3S,CCCCc1nnc(SCc2ccc([N+](=O)[O-])cc2)n1Cc1ccc(NC(=O)c2ccccc2-c2nnn[nH]2)cc1,14.36,0.27,2.88,5.2,569.65,5.3,157.41,10.0,2.0,2.0,12.0,0.12,5.8,4.2,5.0,41.0,12.0,2.0,3.0,569.1958,4.0
2,C32H27ClN6O,CCCCc1nc2ccc(-c3ccc(Cl)cc3)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,13.75,0.26,0.57,8.42,547.06,6.95,89.35,6.0,1.0,2.0,8.0,0.22,7.52,6.67,6.0,40.0,7.0,1.0,2.0,546.1935,5.0
3,C24H23N3O3,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(Oc2ccccc2C(=O)O)cc1,15.83,0.29,1.21,8.23,401.47,5.15,77.24,5.0,1.0,1.0,6.0,0.48,4.34,1.64,4.0,30.0,6.0,1.0,1.0,401.1739,8.0
4,C26H23ClN6O,CCCCc1nc2cc(Cl)ccc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,16.61,0.31,2.53,8.76,470.96,5.29,89.35,6.0,1.0,1.0,7.0,0.35,6.08,5.01,5.0,34.0,7.0,1.0,1.0,470.1622,5.0
5,C29H39ClN4O4,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2cccc(Cl)c2)[C@H](C(=O)O)C1,9.74,0.19,-1.18,6.27,543.11,6.47,84.4,3.0,1.0,2.0,11.0,0.33,5.87,2.63,2.0,38.0,8.0,1.0,2.0,542.266,10.0
6,C30H26N2O3,CCCCc1nc2cc3ccccc3cc2c(=O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,13.88,0.25,0.11,8.89,462.55,6.31,72.19,4.0,1.0,1.0,7.0,0.29,5.61,3.81,5.0,35.0,5.0,1.0,1.0,462.1943,8.0
7,C26H23FN6O,CCCCc1nc2cccc(F)c2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,17.6,0.32,3.23,8.95,454.51,4.77,89.35,6.0,1.0,0.0,7.0,0.38,5.69,4.6,5.0,34.0,7.0,1.0,0.0,454.1917,5.0
8,C26H25N3O5,CCCc1nc2c(C)ccnc2n1Cc1ccc(OC(C(=O)O)c2ccccc2C(=O)O)cc1,14.43,0.27,1.99,5.79,459.5,4.64,114.54,6.0,2.0,0.0,9.0,0.37,4.48,-1.68,4.0,34.0,8.0,2.0,0.0,459.1794,7.0
9,C24H23F3N6O2,CCCCc1nn(CC(F)(F)F)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,484.48,4.92,109.58,6.0,2.0,0.0,9.0,0.35,6.0,1.34,4.0,35.0,8.0,2.0,0.0,484.1835,2.0
10,C24H23F3N6O2,CCCCc1nn(CC(F)(F)F)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,484.48,4.92,109.58,6.0,2.0,0.0,9.0,0.35,6.0,1.34,4.0,35.0,8.0,2.0,0.0,484.1835,2.0
11,C27H26N2O3,CCCCc1nc2cccc(C)c2c(=O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,15.08,0.27,0.97,8.91,426.52,5.46,72.19,4.0,1.0,1.0,7.0,0.43,5.14,3.36,4.0,32.0,5.0,1.0,1.0,426.1943,8.0
12,C28H28N6O,CCCCCc1nc2ccc(C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,17.64,0.32,2.86,9.17,464.57,5.33,89.35,6.0,1.0,1.0,8.0,0.31,6.13,5.37,5.0,35.0,7.0,1.0,1.0,464.2325,4.0
13,C20H18Br2F3N3O2,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1cc(Br)c(O)c(Br)c1,12.02,0.3,0.93,10.99,549.19,5.67,60.05,5.0,1.0,2.0,6.0,0.43,6.97,6.24,3.0,30.0,5.0,1.0,2.0,546.9718,7.0
